Date;Year;Open;High;Low;Close;Adj Close;Volume;Daily Stock Return Direction;Daily Stock Return (%);Daily Trading Volume Change (%);Price Anomaly Category;Volume Anomaly Category;Strong Anomaly
02/07/2020;2020;600;610;590;610;503.26;41,575,700;+;1.6667;94.3398;Normal;Normal;No
03/07/2020;2020;615;615;600;600;495.01;30,660,200;-;-1.6393;-26.2545;Normal;Normal;No
06/07/2020;2020;605;640;600;640;528.01;133,412,200;+;6.6667;335.1315;Sharp Price Increase;Sharp Volume Increase;Yes
07/07/2020;2020;645;670;640;650;536.26;234,409,300;+;1.5625;75.703;Normal;Normal;No
08/07/2020;2020;650;675;645;660;544.51;116,131,400;+;1.5385;-50.4579;Normal;Normal;No
09/07/2020;2020;660;670;650;650;536.26;66,422,900;-;-1.5152;-42.8037;Normal;Normal;No
10/07/2020;2020;650;665;640;645;532.14;44,571,600;-;-0.7692;-32.8972;Normal;Normal;No
13/07/2020;2020;645;685;645;675;556.89;148,923,800;+;4.6512;234.1226;Normal;Sharp Volume Increase;No
14/07/2020;2020;670;680;660;660;544.51;77,241,200;-;-2.2222;-48.1337;Normal;Normal;No
15/07/2020;2020;665;675;655;655;540.39;38,423,500;-;-0.7576;-50.2552;Normal;Normal;No
16/07/2020;2020;655;665;650;650;536.26;19,244,200;-;-0.7634;-49.9155;Normal;Normal;No
17/07/2020;2020;655;660;645;660;544.51;21,499,000;+;1.5385;11.7168;Normal;Normal;No
20/07/2020;2020;660;665;650;650;536.26;31,533,100;-;-1.5152;46.6724;Normal;Normal;No
21/07/2020;2020;655;690;650;685;565.14;158,932,500;+;5.3846;404.018;Sharp Price Increase;Sharp Volume Increase;Yes
22/07/2020;2020;690;705;685;685;565.14;192,426,100;0;0;21.0741;Normal;Normal;No
23/07/2020;2020;695;705;685;690;569.26;90,668,500;+;0.7299;-52.8814;Normal;Normal;No
24/07/2020;2020;705;705;685;685;565.14;134,255,200;-;-0.7246;48.0726;Normal;Normal;No
27/07/2020;2020;695;725;690;725;598.14;197,203,700;+;5.8394;46.8872;Sharp Price Increase;Normal;No
28/07/2020;2020;730;755;715;720;594.01;186,698,000;-;-0.6897;-5.3273;Normal;Normal;No
29/07/2020;2020;720;740;710;730;602.26;79,691,500;+;1.3889;-57.3153;Normal;Sharp Volume Decrease;No
30/07/2020;2020;730;740;720;730;602.26;68,996,600;0;0;-13.4204;Normal;Normal;No
03/08/2020;2020;740;750;680;700;577.51;110,870,200;-;-4.1096;60.6894;Normal;Normal;No
04/08/2020;2020;700;715;700;705;581.64;43,434,000;+;0.7143;-60.8245;Normal;Sharp Volume Decrease;No
05/08/2020;2020;730;750;715;750;618.77;182,812,800;+;6.383;320.8979;Sharp Price Increase;Sharp Volume Increase;Yes
06/08/2020;2020;765;840;755;835;688.89;446,658,400;+;11.3333;144.3256;Sharp Price Increase;Normal;No
07/08/2020;2020;840;865;835;840;693.02;263,824,700;+;0.5988;-40.9337;Normal;Normal;No
10/08/2020;2020;840;840;800;825;680.64;100,818,900;-;-1.7857;-61.7856;Normal;Sharp Volume Decrease;No
11/08/2020;2020;825;830;790;800;660.02;133,787,400;-;-3.0303;32.7007;Normal;Normal;No
12/08/2020;2020;795;795;750;770;635.27;188,570,300;-;-3.75;40.9477;Normal;Normal;No
13/08/2020;2020;770;790;770;770;635.27;99,028,400;0;0;-47.4846;Normal;Normal;No
14/08/2020;2020;780;805;775;785;647.64;209,371,300;+;1.9481;111.4255;Normal;Normal;No
18/08/2020;2020;800;820;795;805;664.14;178,541,000;+;2.5478;-14.7252;Normal;Normal;No
19/08/2020;2020;810;815;795;795;655.89;88,404,200;-;-1.2422;-50.4852;Normal;Normal;No
24/08/2020;2020;805;805;775;780;643.52;116,065,100;-;-1.8868;31.2891;Normal;Normal;No
25/08/2020;2020;780;795;775;790;651.77;69,089,200;+;1.2821;-40.4738;Normal;Normal;No
26/08/2020;2020;790;800;780;785;647.64;72,181,500;-;-0.6329;4.4758;Normal;Normal;No
27/08/2020;2020;790;805;785;795;655.89;87,815,900;+;1.2739;21.6598;Normal;Normal;No
28/08/2020;2020;800;830;790;820;676.52;278,492,100;+;3.1447;217.1317;Normal;Sharp Volume Increase;No
31/08/2020;2020;830;855;810;820;676.52;229,956,400;0;0;-17.428;Normal;Normal;No
01/09/2020;2020;820;840;815;840;693.02;131,125,800;+;2.439;-42.978;Normal;Normal;No
02/09/2020;2020;840;855;830;850;701.27;126,138,900;+;1.1905;-3.8031;Normal;Normal;No
03/09/2020;2020;850;855;825;830;684.77;96,483,000;-;-2.3529;-23.5105;Normal;Normal;No
04/09/2020;2020;820;830;800;825;680.64;93,463,300;-;-0.6024;-3.1298;Normal;Normal;No
07/09/2020;2020;825;830;810;825;680.64;35,138,000;0;0;-62.4045;Normal;Sharp Volume Decrease;No
08/09/2020;2020;825;840;820;825;680.64;60,255,800;0;0;71.4833;Normal;Normal;No
09/09/2020;2020;810;810;780;795;655.89;109,624,500;-;-3.6364;81.9319;Normal;Normal;No
10/09/2020;2020;785;790;740;740;610.52;121,922,400;-;-6.9182;11.2182;Sharp Price Decrease;Normal;No
11/09/2020;2020;710;780;700;775;639.39;114,696,400;+;4.7297;-5.9267;Normal;Normal;No
14/09/2020;2020;780;805;780;800;660.02;61,791,200;+;3.2258;-46.1263;Normal;Normal;No
15/09/2020;2020;810;820;785;805;664.14;66,313,200;+;0.625;7.3182;Normal;Normal;No
16/09/2020;2020;805;810;785;795;655.89;31,285,000;-;-1.2422;-52.8224;Normal;Normal;No
17/09/2020;2020;805;805;765;775;639.39;47,543,300;-;-2.5157;51.9684;Normal;Normal;No
18/09/2020;2020;780;795;775;790;651.77;28,855,300;+;1.9355;-39.3073;Normal;Normal;No
21/09/2020;2020;785;790;760;765;631.14;34,817,700;-;-3.1646;20.6631;Normal;Normal;No
22/09/2020;2020;750;755;725;735;606.39;52,789,600;-;-3.9216;51.6171;Normal;Normal;No
23/09/2020;2020;755;780;735;750;618.77;95,405,500;+;2.0408;80.7278;Normal;Normal;No
24/09/2020;2020;750;750;705;720;594.01;69,787,900;-;-4;-26.8513;Normal;Normal;No
25/09/2020;2020;735;735;715;730;602.26;42,231,400;+;1.3889;-39.4861;Normal;Normal;No
28/09/2020;2020;730;740;715;725;598.14;23,365,500;-;-0.6849;-44.6727;Normal;Normal;No
29/09/2020;2020;735;740;715;715;589.89;47,576,900;-;-1.3793;103.6203;Normal;Normal;No
